,Unnamed: 0,appln_id,patent_office,filing_date,lat,lng,ctry_code,name_0,name_1,name_2,name_3,name_4,name_5,city,coord_source,source,type
138,17611097,51184333,US,2000-01-03,45.3349,-75.7241,CA,Canada,Ontario,Ottawa,Ottawa,,,Ottawa,geolocalization,1,priority
782,17610010,51182272,US,2000-01-03,43.7735,-79.5293,CA,Canada,Ontario,Toronto,Toronto,,,Toronto,geolocalization,1,priority
779,17610001,51182258,US,2000-01-03,45.5017,-73.5673,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Montréal,,,Montréal,geolocalization,1,priority
777,17609999,51182258,US,2000-01-03,45.5017,-73.5673,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Montréal,,,Montréal,geolocalization,1,priority
659,191725,4321084,WO,2000-01-03,45.5126,-73.6468,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Mont-Royal,,,Mont-Royal,geolocalization,3,priority
432,17612471,51187348,US,2000-01-03,44.6488,-63.5752,CA,Canada,Nova Scotia,Halifax,Halifax,,,Halifax,geolocalization,1,priority
322,17613853,51189796,US,2000-01-03,49.3349,-123.167,CA,Canada,British Columbia,Greater Vancouver,West Vancouver,,,West Vancouver,geolocalization,1,continual
778,17610000,51182258,US,2000-01-03,45.5017,-73.5673,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Montréal,,,Montréal,geolocalization,1,priority
144,17611103,51184333,US,2000-01-03,49.1913,-122.849,CA,Canada,British Columbia,Greater Vancouver,Surrey,,,Surrey,geolocalization,1,priority
143,17611102,51184333,US,2000-01-03,49.1913,-122.849,CA,Canada,British Columbia,Greater Vancouver,Surrey,,,Surrey,geolocalization,1,priority
142,17611101,51184333,US,2000-01-03,45.4215,-75.6972,CA,Canada,Ontario,Ottawa,Ottawa,,,Ottawa,geolocalization,1,priority
141,17611100,51184333,US,2000-01-03,45.3088,-75.8987,CA,Canada,Ontario,Ottawa,Ottawa,,,Ottawa,geolocalization,1,priority
140,17611099,51184333,US,2000-01-03,45.4287,-75.7134,CA,Canada,Québec,Communauté-Urbaine-de-l'Outaouais,Hull,,,Hull,geolocalization,1,priority
139,17611098,51184333,US,2000-01-03,45.4215,-75.6972,CA,Canada,Ontario,Ottawa,Ottawa,,,Ottawa,geolocalization,1,priority
182,17611035,51184116,US,2000-01-03,45.5017,-73.5673,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Montréal,,,Montréal,geolocalization,1,priority
1655,17614544,51191049,US,2000-01-04,45.4548,-73.5699,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Verdun,,,Verdun,geolocalization,1,priority
1682,17614886,51191584,US,2000-01-04,45.4548,-73.5699,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Verdun,,,Verdun,geolocalization,1,priority
1684,17614888,51191584,US,2000-01-04,45.7773,-73.6324,CA,Canada,Québec,Les Moulins,Mascouche,,,Mascouche,geolocalization,1,priority
1686,17614890,51191584,US,2000-01-04,45.5017,-73.5673,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Montréal,,,Montréal,geolocalization,1,priority
1721,17614859,51191553,US,2000-01-04,45.7533,-73.4401,CA,Canada,Québec,L'Assomption,Repentigny,,,Repentigny,geolocalization,1,priority
1697,17614863,51191553,US,2000-01-04,45.5017,-73.5673,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Montréal,,,Montréal,geolocalization,1,priority
1699,17614862,51191553,US,2000-01-04,45.4548,-73.5699,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Verdun,,,Verdun,geolocalization,1,priority
1722,17614861,51191553,US,2000-01-04,45.5017,-73.5673,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Montréal,,,Montréal,geolocalization,1,priority
1653,17614542,51191049,US,2000-01-04,45.5017,-73.5673,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Montréal,,,Montréal,geolocalization,1,priority
1687,17614891,51191584,US,2000-01-04,45.5017,-73.5673,CA,Canada,Québec,Communauté-Urbaine-de-Montréal,Montréal,,,Montréal,geolocalization,1,priority
1652,17614541,51191049,US,2000-01-04,45.7533,-73.4401,CA,Canada,Québec,L'Assomption,Repentigny,,,Repentigny,geolocalization,1,priority
1654,17614543,51191049,US,2000-01-04,45.7161,-73.5471,CA,Canada,Québec,Les Moulins,Lachenaie,,,Lachenaie,geolocalization,1,priority
1390,2071452,15706439,EP,2000-01-04,44.7497,-79.875,CA,Canada,Ontario,Simcoe,Midland,,,Midland,geolocalization,1,single
1549,17615153,51192127,US,2000-01-04,49.2488,-122.981,CA,Canada,British Columbia,Greater Vancouver,Burnaby,,,Burnaby,geolocalization,1,single
988,17614215,51190470,US,2000-01-04,45.4215,-75.6972,CA,Canada,Ontario,Ottawa,Ottawa,,,Ottawa,geolocalization,1,priority
1018,191723,4321077,WO,2000-01-04,43.7485,-79.3686,CA,Canada,Ontario,Toronto,Toronto,,,Toronto,geolocalization,1,single
1085,17613951,51189994,US,2000-01-04,49.32,-123.072,CA,Canada,British Columbia,Greater Vancouver,North Vancouver City,,,North Vancouver City,geolocalization,1,priority
1087,17613953,51189994,US,2000-01-04,49.2488,-122.981,CA,Canada,British Columbia,Greater Vancouver,Burnaby,,,Burnaby,geolocalization,1,priority
1020,226033,4653976,CA,2000-01-04,49.2618,-123.102,CA,Canada,British Columbia,Greater Vancouver,Vancouver,,,Vancouver,geolocalization,1,priority
1089,17613955,51189994,US,2000-01-04,49.2488,-122.981,CA,Canada,British Columbia,Greater Vancouver,Burnaby,,,Burnaby,geolocalization,1,priority
1101,226102,4654874,CA,2000-01-04,49.1913,-122.849,CA,Canada,British Columbia,Greater Vancouver,Surrey,,,Surrey,geolocalization,2,priority
1113,191724,4321077,WO,2000-01-04,43.7485,-79.3686,CA,Canada,Ontario,Toronto,Toronto,,,Toronto,geolocalization,1,single
1389,2071451,15706439,EP,2000-01-04,44.7497,-79.875,CA,Canada,Ontario,Simcoe,Midland,,,Midland,geolocalization,1,single
1088,17613954,51189994,US,2000-01-04,49.2827,-123.121,CA,Canada,British Columbia,Greater Vancouver,Vancouver,,,Vancouver,geolocalization,1,priority
